Schwaiger and Abmayer 2013 - Accounting and Management Information Systems - A Semantic Integration.pdf
Not valid csv text, check the article
Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf
Cost-Benefit Analysis,usado_para_construir_medidores,"“Table 5. presents the cost-benefit analysis of the best solution considered in the given problem… By comparing between the cost and benefits, the ports agency can realize that potential solution is financially viable…”  "
Failure Mode and Effect Analysis (FMEA),usado_para_construir_medidores,"“Table 6. describes the failure mode and effect analysis of the proposed blockchain-based WMS with analytics… Each step undertaken considers the failure mode, effect, severity, and recommended actions to undertake to solve potential problems.”"
Schröpfer and Schönherr 2008 - Introducing a Method to Derive an Enterprise-Specific SOA Operating Model.pdf
"Service reuse;Sim;""Service manager … KPIs: Service reuse", SLA compliance of services," user satisfaction with the services""  "
"SLA compliance;Sim;""Service manager … KPIs: Service reuse", SLA compliance of services," user satisfaction with the services""  "
"User satisfaction with services;Sim;""Service manager … KPIs: Service reuse", SLA compliance of services," user satisfaction with the services""  "
Vasiltsov et al. 2024 - Information Analysis in Risk Management of BP (Using the Example of Metallurgical Enterprises).pdf
Modelo,Usado_para_construir_medidores?,Trecho_de_corroboração
KPI (Key Performance Indicators),Sim,"“First, these are measurable targets (KPI). The lack of generated key performance indicators indicates that these activities are not interrelated and cannot be combined into one BP.”"
Profit,Sim,"“A system of criteria must be formed to characterize the final result of the BP (profit, revenue, EBITDA … ).”"
Revenue,Sim,"“A system of criteria must be formed to characterize the final result of the BP (profit, revenue, EBITDA … ).”"
EBITDA,Sim,"“A system of criteria must be formed to characterize the final result of the BP (profit, revenue, EBITDA … ).”"
Costs,Sim,"“A system of criteria must be formed to characterize the final result of the BP … ( … costs, project timing, etc.).”"
Project timing,Sim,"“A system of criteria must be formed to characterize the final result of the BP … ( … costs, project timing, etc.).”"
RTO (Recovery Time Objective),Apenas citado,“Subjective assessments of RTO (recovery time) requirements are possible—either too optimistic or too pessimistic.”
Key risk indicators (KRI),Sim,“identifying key indicators for each risk is important to measure trends and changes in data parameters associated with risks.”
Sun et al. 2013 - Formalization of design chain management using environment-based design (EBD) theory.pdf
Modelo,Uso para construção de medidores?,Trecho que corrobora
Supply-Chain Operations Reference (SCOR),Sim – utilizado para construir/benchmarkar indicadores,“The supply-chain council (SCC) proposed a supply chain operations reference model (SCOR) for benchmarking supply chain processes and designing IT solutions for SCM (Stewart 1997).”
Design-Chain Operations Reference (DCOR),Sim – utilizado para construir/avaliar indicadores,“DCOR model can be applied to … identify in-depth the position of each design chain member and its impact on design chain performance.”
Red et al. 2019 - Web and Mobile Ticketing and Service Tracking for Customer Engagement of a Small Accounting Firm.pdf
modelo,usado_para_medidores,trecho_citacao
Key Performance Indicator (KPI),Sim,"“In addition, since the firm values urgency and efficiency in the performance of its services, thus,  the Key Performance Indicator (KPI)  of the  firm was integrated in the service tracking  to evaluate the success of their activities and engagements  which is set at least a day before the government’s deadline.”"
"Five (5) Dimension Framework (Communication, Transaction, Visual Aesthetics, Ease of Use, Information/Maintainable Platform)",Não,"“The usability testing questionnaire for the usability evaluation of the website’s front-end was patterned after the Five (5) Dimension Framework namely : (1) communication, (2) transaction , (3) visual aesthetics, (4) ease of use,  and (5) information … The criteria used for the survey aims to get the perception of the respondents or users for further improvement of the prototype and alignment of the business processes with the system.”"
Sienou et al. 2008 - Business Process and Risk Models Enrichment - Considerations for Business Intelligence.pdf
Modelo,Usado_para_construir_medidores,Trecho_que_corrobora
Performance Indicator,sim,"the achievement of an objective is quantified through performance indicators. The later is a metric, which provides information about the behavior of the performer"
Reliability,sim,Reliability and productivity are the main indicators explained for this activity.
Productivity,sim,Reliability and productivity are the main indicators explained for this activity.
Desvio-padrão (standard deviation),apenas citado,Performance variation can be seen as the measure (standard deviation as stated in [5]) of the risk but also the indicator of the risk.
Kennedy and Parker 2019 - Biofeedback as a stress management tool - a systematic review.pdf
Not valid csv text, check the article
Duan et al. 2023 - Early prediction of sepsis using double fusion of deep features and handcrafted features.pdf
"SOFA score;SIM;""...four sepsis scores were used"," including the SOFA score...""  "
"quick SOFA (qSOFA) score;SIM;""...four sepsis scores were used"," including ... quick SOFA (qSOFA) score...""  "
"SIRS criterion;SIM;""...four sepsis scores were used"," including ... the SIRS criterion...""  "
"Modified Early Warning Score;SIM;""...four sepsis scores were used"," including ... the modified early warning score...""  "
Vangeepuram et al. 2024 - Assessing Delivery Commitments in Supply Chains - A Matrix-Based Framework.pdf
Modelo,Uso,Trecho de apoio
On-time delivery,Citado,"In SCs, performance measurement metrics like on-time delivery, delivery at request date, delivery to commit date, and order fill lead time serve as KPIs for the customer service levels (Stewart 1995; Gunasekaran et al. 2004)."
Delivery at request date,Citado,"In SCs, performance measurement metrics like on-time delivery, delivery at request date, delivery to commit date, and order fill lead time serve as KPIs for the customer service levels (Stewart 1995; Gunasekaran et al. 2004)."
Delivery to commit date,Citado,"In SCs, performance measurement metrics like on-time delivery, delivery at request date, delivery to commit date, and order fill lead time serve as KPIs for the customer service levels (Stewart 1995; Gunasekaran et al. 2004)."
Order fill lead time,Citado,"In SCs, performance measurement metrics like on-time delivery, delivery at request date, delivery to commit date, and order fill lead time serve as KPIs for the customer service levels (Stewart 1995; Gunasekaran et al. 2004)."
